Size,Bedrooms,Age,Price
650,1,18,28
720,1,15,31
800,2,12,38
850,2,20,40
900,2,10,43
950,2,8,47
1000,2,14,49
1050,2,7,52
1100,2,12,54
1150,2,5,57
1200,3,9,60
1250,3,6,63
1300,3,11,65
1350,3,4,68
1400,3,8,71
1450,3,3,74
1500,3,10,76
1550,3,6,79
1600,3,5,82
1650,3,9,85
1700,3,4,88
1750,3,2,91
1800,3,7,94
1850,3,5,97
1900,3,3,100
1950,3,8,103
2000,4,4,108
2100,4,2,113
2200,4,6,118
2300,4,3,123
2400,4,5,128
2500,4,1,134
2600,4,7,139
2750,4,4,146
2900,4,2,153
3000,5,6,161
3150,5,3,169
3300,5,1,178
3500,5,5,188
3700,5,2,198
